Model,DT2055 VW Multi Channel Logger
Name,Multi Channel VW Logger DT2055
Serial Number,03039
Firmware Version,1.20,Software Version,1.41.7
Sampling Status,LOGGING
Sampling Rate,FIXED
Current Interval,8:0:0
Start Time,2016/08/06,10:14:30
Current Time,2018/07/15,16:16:08
Number Of Sensors,10
Number Of Records,2125,USB
Sensor Upload Num / Status Code,2,80000,FFFFFFFF,132098


"TIMESTAMP","RECORD","BATTERY","Therm 1","Therm 2","Therm 3","Therm 4","Therm 5","Therm 6","Therm 7","Therm 8","Therm 9","Therm 10",,,,"Therm 1","Therm 2","Therm 3","Therm 4","Therm 5","Therm 6","Therm 7","Therm 8","Therm 9","Therm 10","LOGGER TEMP","RESET","USB","RSTAR","STATUS"
,,,,,,,,,,,,,,,Unit Type," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Input Units," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Output Units," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Offset," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Cal A =," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Zero B =," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Cal C =," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Temp CF," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Temp Initial," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Linked Channel," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Sensor,"3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC"
"UNITS->",,"Volts","deg C","deg C","deg C","deg C","deg C","deg C","deg C","deg C","deg C","deg C",,,,"Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","deg C"
2016/08/11 18:14:30,17,2.95,10.22,7.56,5.65,3.14,1.87,1.13,1.09,0.92,0.82,0.71,,,,5909.094727,6719.867188,7378.141113,8358.678711,8911.811523,9249.693359,9268.714844,9352.500977,9399.583984,9448.175781,12.70,0,0,0,000
2016/08/12 02:14:30,18,2.90,8.05,7.51,5.67,3.15,1.88,1.13,1.09,0.91,0.81,0.71,,,,6560.885742,6735.573242,7371.750488,8354.469727,8908.406250,9249.693359,9269.905273,9353.706055,9400.794922,9449.393555,5.50,0,0,0,000
2016/08/12 10:14:30,19,2.90,8.22,7.48,5.69,3.17,1.89,1.14,1.09,0.91,0.82,0.71,,,,6507.176758,6748.000488,7365.364746,8349.211914,8903.868164,9247.316406,9269.905273,9353.706055,9399.583984,9448.175781,8.10,0,0,0,000
2016/08/12 18:14:30,20,2.90,10.11,7.44,5.70,3.18,1.89,1.14,1.09,0.92,0.82,0.71,,,,5941.016113,6760.452148,7360.808105,8342.907227,8900.467773,9246.129883,9269.905273,9352.500977,9399.583984,9448.175781,11.70,0,0,0,000
2016/08/13 02:14:30,21,2.90,8.71,7.41,5.71,3.19,1.90,1.14,1.09,0.91,0.82,0.71,,,,6354.224121,6771.263184,7358.985840,8338.708008,8897.067383,9246.129883,9269.905273,9353.706055,9399.583984,9449.393555,7.00,0,0,0,000
2016/08/13 10:14:30,22,2.90,8.38,7.39,5.71,3.20,1.91,1.14,1.09,0.91,0.82,0.71,,,,6457.884766,6777.924805,7356.254395,8333.461914,8893.668945,9244.943359,9269.905273,9353.706055,9399.583984,9448.175781,8.00,0,0,0,000
2016/08/13 18:14:30,23,2.90,8.98,7.37,5.72,3.22,1.91,1.15,1.09,0.91,0.82,0.71,,,,6273.762207,6783.760742,7354.433105,8328.220703,8891.404297,9243.756836,9269.905273,9353.706055,9399.583984,9448.175781,9.00,0,0,0,000
2016/08/14 02:14:30,24,2.90,8.03,7.34,5.72,3.23,1.92,1.15,1.09,0.91,0.82,0.71,,,,6568.135742,6791.270020,7353.523438,8322.981445,8889.139648,9242.570313,9269.905273,9353.706055,9399.583984,9449.393555,6.70,0,0,0,000
2016/08/14 10:14:30,25,2.90,8.62,7.32,5.73,3.24,1.93,1.15,1.09,0.91,0.82,0.71,,,,6384.671387,6798.789063,7352.613770,8318.792969,8885.746094,9241.384766,9269.905273,9353.706055,9399.583984,9448.175781,9.30,0,0,0,000
2016/08/14 18:14:30,26,2.90,9.14,7.29,5.73,3.25,1.93,1.15,1.09,0.91,0.82,0.71,,,,6225.530273,6807.991699,7351.703125,8313.562500,8882.352539,9240.198242,9269.905273,9353.706055,9399.583984,9448.175781,9.70,0,0,0,000
